layer,edge,mean,std,max
20,X->R1,0.14974257803571941,0.16066486666442464,0.7799161672592163
20,X->P,0.30080086938133244,0.21350832198837522,0.7631231546401978
20,S->R1,0.09625385171298136,0.03998740047171275,0.23232047698077032
20,R1->S,0.0847215487462591,0.03378812595644923,0.19034371656530044
20,S->X,0.14571350488905646,0.09704076998915878,0.4897563036750345
20,R1->X,0.21164906983255966,0.1655398665837524,0.6325946134679458
20,X->X,0.49273357986073407,0.24750745795290027,0.9653729796409607
20,S->S,0.509461816817689,0.283628597993973,0.9524512571447036
20,R1->R1,0.4707271731784698,0.3261748504774825,0.9676260106703815
20,P->P,0.7924253426359168,0.17043974644609103,0.9968951940536499
21,X->S,0.08210455379975472,0.050235483059108244,0.24009880423545837
21,X->R1,0.09208675756342798,0.13487664569167573,0.7009398341178894
21,X->P,0.24297827381053053,0.167687545807771,0.7824404239654541
21,S->R1,0.0927561880735899,0.056878099945273417,0.2681194473715389
21,R1->S,0.08900182889080016,0.04634033758096901,0.2687253952026367
21,S->X,0.11089630798548879,0.06100773436292445,0.3051917693194221
21,R1->X,0.1464309703812384,0.13878695209957959,0.5977648005766028
21,X->X,0.6236298447253094,0.21368162787676812,0.9448757171630859
21,S->S,0.6325914369999099,0.28962419342095036,0.9617532842299518
21,R1->R1,0.5660829904301201,0.3497754984975485,0.9687277849982766
21,P->P,0.7645061108438919,0.246415384745204,0.998227596282959
22,X->S,0.06186061773249613,0.020540364917063982,0.1426045298576355
22,X->R1,0.04734646924087082,0.053170450790360355,0.30603358149528503
22,X->P,0.22603571224248126,0.1757825529699679,0.8081035614013672
22,S->R1,0.17747180136941315,0.1204639709950317,0.4516882615930894
22,R1->S,0.10262015729448666,0.044193478415470805,0.23474031336167278
22,S->X,0.1740535021334344,0.126440123617053,0.59985772301169
22,R1->X,0.20663343689075728,0.16789408755436053,0.585457914015826
22,X->X,0.7072602982987606,0.1881329650945135,0.9755139350891113
22,S->S,0.51001810912742,0.2898203856115405,0.9505453670726103
22,R1->R1,0.5780811644272086,0.3002851496546429,0.973653232350069
22,P->P,0.6953469783156401,0.25699442498963393,0.9932053089141846
23,X->S,0.07840159365081317,0.04857126144336328,0.22991402447223663
23,X->R1,0.09700328400157603,0.0998173207420027,0.6273356080055237
23,X->P,0.2676126574272833,0.28734411568614604,0.9125800132751465
23,S->R1,0.17944238894666004,0.09520551957766152,0.3930494084077723
23,R1->S,0.13240212494773523,0.05976990934709493,0.38418910082648783
23,S->X,0.24744931024340105,0.1590792812055107,0.7715083290548885
23,R1->X,0.27561290770787383,0.19001417945409077,0.8472176159129423
