step,layer,head,edge,light,heavy_slice,abs_diff,rel_diff
14,24,16,X->P,0.02457619272172451,0.02457619272172451,0.0,0.0
14,24,16,X->R1,0.02857115864753723,0.02857115864753723,0.0,0.0
14,24,16,X->S,0.04754476994276047,0.04754476994276047,0.0,0.0
14,24,16,X->X,0.9410824775695801,0.9410824775695801,0.0,0.0
14,24,20,P->P,0.3838600814342499,0.3838600814342499,0.0,0.0
14,24,20,P->R1,0.10435470938682556,0.10435470938682556,0.0,0.0
14,24,20,P->S,0.17733465135097504,0.17733465135097504,0.0,0.0
14,24,20,P->X,0.37834155559539795,0.37834155559539795,0.0,0.0
14,24,20,R1->P,0.11242563584271599,0.11393511295318604,0.001509477110470045,0.013426449396130708
14,24,20,R1->R1,0.1045216111575856,0.10382179652943331,0.0006998146281522871,0.006695406054324857
14,24,20,R1->S,0.06983615370357737,0.06769394173341639,0.0021422119701609843,0.030674827529214986
14,24,20,R1->X,0.7629831538480871,0.762199177461512,0.0007839763865751248,0.0010275146739756426
14,24,20,S->P,0.18791681177475872,0.18791681177475872,0.0,0.0
14,24,20,S->R1,0.11268763682421516,0.11268763682421516,0.0,0.0
14,24,20,S->S,0.148896105149213,0.148896105149213,0.0,0.0
14,24,20,S->X,0.5842369303983801,0.5842369303983801,0.0,0.0
14,24,20,X->P,0.6640726327896118,0.6640726327896118,0.0,0.0
14,24,20,X->R1,0.017776113003492355,0.017776113003492355,0.0,0.0
14,24,20,X->S,0.020766660571098328,0.020766660571098328,0.0,0.0
14,24,20,X->X,0.3080664277076721,0.3080664277076721,0.0,0.0
27,0,0,P->P,0.16841396689414978,0.16841396689414978,0.0,0.0
27,0,0,P->R1,0.04638073220849037,0.04638073220849037,0.0,0.0
27,0,0,P->S,0.08098655194044113,0.08098655194044113,0.0,0.0
27,0,0,P->X,0.7318296432495117,0.7318296432495117,0.0,0.0
27,0,0,R1->P,0.190519557279699,0.19082295193391688,0.0003033946542178867,0.001592459370312715
27,0,0,R1->R1,0.4597891919753131,0.45990615732529583,0.00011696534998273389,0.0002543890809617247
27,0,0,R1->S,0.1878967004663804,0.18823957443237305,0.00034287396599264053,0.001824800356480925
27,0,0,R1->X,0.21044855959275188,0.2102473483366125,0.00020121125613939417,0.0009561065969221495
27,0,0,S->P,0.2861494737512925,0.2861494737512925,0.0,0.0
27,0,0,S->R1,0.03953354498919319,0.03953354498919319,0.0,0.0
27,0,0,S->S,0.5091131434721106,0.5091131434721106,0.0,0.0
27,0,0,S->X,0.2230687702403349,0.2230687702403349,0.0,0.0
27,0,0,X->P,0.19506964087486267,0.19506964087486267,0.0,0.0
27,0,0,X->R1,0.02932105027139187,0.02932105027139187,0.0,0.0
27,0,0,X->S,0.06566669046878815,0.06566669046878815,0.0,0.0
27,0,0,X->X,0.7462363243103027,0.7462363243103027,0.0,0.0
